,match_played,team_id,team_name,team_all_outs_conceded,team_all_outs_conceded_rank,season,team_all_outs_inflicted,team_all_outs_inflicted_rank,team_average_raid_points,team_average_raid_points_rank,team_average_tackle_points,team_average_tackle_points_rank,team_avg_points_scored,team_avg_points_scored_rank,team_dod_raid_points,team_dod_raid_points_rank,team_raid_points,team_raid_points_rank,team_successful_raids,team_successful_raids_rank,team_successful_tackles,team_successful_tackles_rank,team_super_raid,team_super_raid_rank,team_super_tackles,team_super_tackles_rank,team_tackle_points,team_tackle_points_rank,team_total_points_conceded,team_total_points_conceded_rank,team_total_points,team_total_points_rank
0,14,7,Puneri Paltan,26,1,1,12,7,19.21,7,7.64,7,26.85,8,48,2,269,8,204,8,93,8,11,3,14,3,107,7,536,1,405,8
1,14,4,Bengal Warriors,25,2,1,11,8,20.21,5,8.71,6,28.92,5,30,8,283,7,213,7,106,6,11,3,16,2,122,6,515,2,430,7
2,14,2,Dabang Delhi K.C.,23,3,1,18,5,20.36,4,9.57,4,29.92,4,31,6,285,6,246,5,124,4,5,8,10,6,134,5,471,7,456,6
3,16,5,U Mumba,19,4,1,21,3,21.69,2,9.81,3,31.5,2,40,4,347,1,270,2,145,3,12,2,12,4,157,3,499,3,550,2
4,16,6,Patna Pirates,17,5,1,18,5,19.75,6,8.88,5,28.62,6,42,3,316,4,253,4,124,4,13,1,18,1,142,4,487,4,504,3
5,16,3,Jaipur Pink Panthers,15,6,1,29,1,21.5,3,10.63,1,32.12,1,50,1,344,2,270,2,158,1,9,5,12,4,170,1,458,8,579,1
6,16,1,Bengaluru Bulls,15,6,1,20,4,18.19,8,10.19,2,28.37,7,40,4,291,5,225,6,153,2,7,7,10,6,163,2,479,5,498,4
7,14,8,Telugu Titans,14,8,1,25,2,24.0,1,7.43,8,31.42,3,31,6,336,3,272,1,96,7,8,6,8,8,104,8,474,6,497,5
8,16,6,Patna Pirates,21,1,2,13,5,14.25,7,10.25,3,24.5,6,60,5,228,5,182,5,152,4,4,8,13,6,164,3,489,2,444,4
9,14,7,Puneri Paltan,21,1,2,12,7,15.93,3,8.14,8,24.07,7,56,7,223,6,170,6,104,8,8,5,11,7,114,8,465,3,391,7
10,14,2,Dabang Delhi K.C.,20,3,2,13,5,15.5,5,9.71,6,25.21,5,61,4,217,7,159,7,122,6,14,2,14,5,136,6,464,4,396,6
11,14,4,Bengal Warriors,17,4,2,10,8,13.14,8,9.71,6,22.85,8,59,6,184,8,134,8,116,7,9,4,21,1,136,6,430,6,367,8
12,16,1,Bengaluru Bulls,16,5,2,25,2,15.75,4,10.25,3,26.0,4,80,2,252,2,194,2,158,2,10,3,7,8,164,3,457,5,508,2
13,16,8,Telugu Titans,15,6,2,26,1,21.5,1,10.75,2,32.25,1,66,3,344,1,265,1,158,2,16,1,16,3,172,2,493,1,586,1
14,16,5,U Mumba,14,7,2,20,3,14.81,6,12.25,1,27.06,2,81,1,237,3,187,3,180,1,7,6,16,3,196,1,426,7,489,3
15,14,3,Jaipur Pink Panthers,12,8,2,17,4,16.57,2,10.14,5,26.71,3,47,8,232,4,183,4,124,5,5,7,18,2,142,5,399,8,442,5
16,14,2,Dabang Delhi K.C.,28,1,3,9,8,16.64,3,7.93,7,24.57,6,54,7,233,6,171,6,98,7,5,6,13,3,111,7,525,1,384,6
17,14,3,Jaipur Pink Panthers,22,2,3,11,7,13.79,8,8.36,5,22.14,7,59,5,193,8,149,8,101,5,8,4,16,1,117,5,427,7,364,7
18,14,1,Bengaluru Bulls,21,3,3,12,6,14.93,7,7.14,8,22.07,8,69,4,209,7,158,7,94,8,9,2,7,6,100,8,467,3,362,8
19,16,4,Bengal Warriors,18,4,3,17,4,15.63,6,9.38,4,25.0,5,70,3,250,5,213,2,137,4,4,7,13,3,150,4,449,4,460,4
20,14,8,Telugu Titans,17,5,3,13,5,18.14,2,8.29,6,26.42,3,44,8,254,2,206,3,101,5,3,8,15,2,116,6,437,5,427,5
21,16,6,Patna Pirates,13,6,3,30,1,20.25,1,11.38,2,31.62,1,74,2,324,1,241,1,175,1,16,1,7,6,182,2,468,2,594,1
22,16,7,Puneri Paltan,13,6,3,25,3,15.69,5,11.69,1,27.37,2,87,1,251,4,203,5,174,2,9,2,13,3,187,1,433,6,510,2
23,16,5,U Mumba,12,8,3,27,2,15.81,4,10.56,3,26.37,4,59,5,253,3,206,3,163,3,7,5,6,8,169,3,397,8,502,3
24,14,1,Bengaluru Bulls,21,1,4,9,8,14.36,8,8.86,6,23.21,8,59,7,201,8,157,8,109,8,4,6,15,4,124,7,415,7,360,8
25,14,5,U Mumba,21,1,4,15,5,16.21,5,8.64,7,24.85,6,42,8,227,5,188,5,110,7,4,6,11,5,121,8,418,6,399,6
26,16,7,Puneri Paltan,17,3,4,21,2,18.13,1,9.13,4,27.25,1,77,3,290,1,230,1,140,3,10,2,7,7,146,3,491,1,515,1
27,14,2,Dabang Delhi K.C.,16,4,4,15,5,16.14,6,9.57,3,25.71,4,84,1,226,6,162,7,116,6,11,1,20,2,134,5,412,8,419,5
28,14,4,Bengal Warriors,15,5,4,11,7,14.43,7,8.93,5,23.35,7,62,6,202,7,167,6,117,5,4,6,8,6,125,6,438,5,378,7
29,16,3,Jaipur Pink Panthers,14,6,4,17,4,16.88,2,8.44,8,25.31,5,80,2,270,2,203,4,119,4,6,5,17,3,135,4,450,4,475,4
30,16,8,Telugu Titans,13,7,4,22,1,16.69,3,10.13,2,26.81,3,76,4,267,3,206,2,157,1,7,3,5,8,162,2,454,3,506,2
31,16,6,Patna Pirates,12,8,4,19,3,16.5,4,10.69,1,27.18,2,73,5,264,4,206,2,145,2,7,3,27,1,171,1,466,2,492,3
32,22,5,U Mumba,36,1,8,21,10,19.05,3,9.18,6,28.22,3,78,12,419,4,322,9,176,10,10,8,26,2,202,6,757,3,707,7
33,22,2,Dabang Delhi K.C.,35,2,8,18,12,15.64,12,7.68,12,23.31,12,94,5,344,12,283,12,159,12,6,10,12,9,169,12,731,6,598,12
34,23,30,U.P. Yoddha,32,3,8,23,8,20.04,2,8.74,9,28.78,2,83,10,461,2,358,3,183,8,23,2,19,5,201,7,763,2,762,4
35,22,29,Tamil Thalaivas,31,4,8,19,11,18.64,5,9.14,7,27.77,4,89,7,410,5,351,4,184,7,5,11,17,6,201,7,752,5,681,10
36,24,4,Bengal Warriors,29,5,8,27,5,18.96,4,8.04,10,27.0,9,87,9,455,3,379,2,181,9,11,6,12,9,193,10,757,3,749,5
37,26,6,Patna Pirates,29,5,8,55,1,24.5,1,9.69,4,34.19,1,95,4,637,1,487,1,226,3,26,1,27,1,252,3,921,1,1050,1
38,22,3,Jaipur Pink Panthers,27,7,8,22,9,16.05,10,7.77,11,23.81,11,83,10,353,11,288,11,162,11,13,3,10,12,171,11,723,8,631,11
39,22,8,Telugu Titans,26,8,8,25,7,18.18,6,9.41,5,27.59,5,88,8,400,8,332,7,191,5,10,8,17,6,207,5,698,9,696,8
40,22,1,Bengaluru Bulls,25,9,8,28,4,17.86,7,9.09,8,26.95,10,93,6,393,9,336,5,185,6,5,11,17,6,200,9,679,11,689,9
41,23,28,Haryana Steelers,23,10,8,27,5,17.57,8,9.87,3,27.43,7,105,2,404,7,327,8,206,4,12,4,21,3,227,4,726,7,727,6
42,24,7,Puneri Paltan,23,10,8,32,3,15.79,11,11.29,1,27.08,8,119,1,379,10,304,10,252,1,12,4,21,3,271,1,683,10,766,3
43,24,31,Gujarat Fortunegiants,17,12,8,36,2,16.88,9,10.58,2,27.45,6,98,3,405,6,335,6,242,2,11,6,12,9,254,2,641,12,775,2
44,22,28,Haryana Steelers,33,1,26,16,11,20.32,3,8.77,10,29.09,6,45,12,447,7,361,6,180,11,12,6,15,9,193,11,806,4,715,8
45,22,3,Jaipur Pink Panthers,32,2,26,22,8,18.86,9,10.23,5,29.09,6,75,5,415,10,334,10,202,5,13,4,25,4,225,6,780,5,711,9
46,22,6,Patna Pirates,30,3,26,30,5,22.55,2,9.14,8,31.68,3,54,11,496,2,406,2,186,9,11,7,16,7,201,9,835,2,799,6
47,25,30,U.P. Yoddha,30,3,26,26,6,17.96,10,10.6,3,28.56,8,86,2,449,6,357,7,240,3,10,8,27,3,265,3,847,1,812,5
48,22,7,Puneri Paltan,29,5,26,14,12,15.73,12,9.95,6,25.68,12,71,9,346,12,286,12,189,8,7,11,34,1,219,7,694,11,649,11
49,24,2,Dabang Delhi K.C.,28,6,26,34,4,20.13,4,9.0,9,29.12,5,73,7,483,3,401,3,198,7,13,4,19,5,216,8,824,3,822,4
50,22,29,Tamil Thalaivas,27,7,26,20,9,19.05,7,8.59,12,27.63,10,67,10,419,9,344,8,174,12,7,11,15,9,189,12,741,8,671,10
51,22,8,Telugu Titans,25,8,26,18,10,16.05,11,10.59,4,26.63,11,85,3,353,11,289,11,202,5,9,10,33,2,233,4,702,10,647,12
52,24,1,Bengaluru Bulls,24,9,26,37,2,22.79,1,9.58,7,32.37,2,73,7,547,1,431,1,219,4,20,1,12,12,230,5,766,7,887,1
53,23,4,Bengal Warriors,23,10,26,23,7,18.96,8,8.7,11,27.65,9,85,3,436,8,340,9,186,9,16,2,16,7,200,10,734,9,725,7
54,25,31,Gujarat Fortunegiants,20,11,26,36,3,19.2,6,10.96,2,30.16,4,74,6,480,4,392,4,258,2,10,8,18,6,274,2,769,6,876,2
55,23,5,U Mumba,16,12,26,41,1,19.96,5,12.57,1,32.52,1,89,1,459,5,372,5,274,1,15,3,15,9,289,1,672,12,856,3
56,20,7,Puneri Paltan,33,1,49,18,10,17.9,7,11.6,1,29.5,5,60,6,358,6,290,5,207,1,6,9,25,2,232,1,723,1,652,4
57,19,29,Tamil Thalaivas,29,2,49,13,11,17.16,8,8.53,12,25.68,12,52,8,326,9,259,10,151,12,4,12,13,10,162,12,659,2,546,12
58,19,1,Bengaluru Bulls,24,3,49,21,6,20.68,3,10.05,7,30.73,2,42,12,393,3,309,3,168,8,8,5,25,2,191,6,644,3,656,3
59,20,3,Jaipur Pink Panthers,23,4,49,19,9,16.85,10,10.95,2,27.8,8,73,1,337,7,261,9,189,2,7,7,32,1,219,2,644,3,626,7
60,19,6,Patna Pirates,23,4,49,28,3,19.37,5,10.05,7,29.42,6,69,4,368,5,291,4,168,8,13,3,23,4,191,6,641,5,640,6
61,18,8,Telugu Titans,22,6,49,13,11,18.44,6,10.11,6,28.55,7,44,11,332,8,273,7,162,10,9,4,21,5,182,9,603,8,564,9
62,18,30,U.P. Yoddha,22,6,49,21,6,16.06,11,10.67,3,26.72,9,71,2,289,12,223,12,177,5,5,10,16,7,192,5,570,11,551,11
63,20,31,Gujarat Fortunegiants,22,6,49,21,6,16.0,12,10.15,5,26.15,11,59,7,320,10,265,8,187,3,5,10,17,6,203,3,591,9,605,8
64,19,28,Haryana Steelers,21,9,49,27,4,19.84,4,10.26,4,30.1,4,71,2,377,4,290,5,181,4,14,2,14,9,195,4,626,6,650,5
65,18,5,U Mumba,20,10,49,25,5,16.89,9,9.78,9,26.66,10,66,5,304,11,238,11,162,10,7,7,16,7,176,11,529,12,562,10
66,19,4,Bengal Warriors,16,11,49,31,2,20.95,2,9.68,10,30.63,3,51,9,398,2,318,2,174,7,15,1,12,11,184,8,590,10,676,2
67,19,2,Dabang Delhi K.C.,15,12,49,33,1,21.79,1,9.53,11,31.31,1,47,10,414,1,340,1,175,6,8,5,8,12,181,10,617,7,709,1
